TRADEDATE,CLOSE,VALUE,VOLUME
2015-06-22,72.0,5356120485.2,74326940.0
2015-06-23,72.01,3809342329.8,52938560.0
2015-06-24,71.98,4060868802.4,56452820.0
2015-06-25,71.42,3265686873.0,45477110.0
2015-06-26,70.6,6953857936.2,98330570.0
2015-06-29,70.2,5428842766.9,77616070.0
2015-06-30,72.35,7106462410.9,99473820.0
2015-07-01,71.0,7270461370.3,101154440.0
2015-07-02,70.54,5916314910.6,83756690.0
2015-07-03,70.67,4139718738.8,58707530.0
2015-07-06,68.45,8574431815.2,123570110.0
2015-07-07,68.77,7142821094.7,103684770.0
2015-07-08,67.73,10794926015.2,160173700.0
2015-07-09,69.35,5809055665.2,84780130.0
2015-07-10,71.06,7681072909.1,108780680.0
2015-07-13,72.94,16717328134.5,231581340.0
2015-07-14,73.9,8068480978.9,110524300.0
2015-07-15,74.0,5827909514.9,79249180.0
2015-07-16,74.21,4202661103.4,56795770.0
2015-07-17,75.52,6643082557.1,88937350.0
2015-07-20,74.1,6673781777.6,89338110.0
2015-07-21,75.55,8145142561.9,108985690.0
2015-07-22,74.6,7479462570.2,99433200.0
2015-07-23,72.7,6743238166.9,91626820.0
2015-07-24,70.45,9578703187.3,133887760.0
2015-07-27,68.48,14414520570.4,209986640.0
2015-07-28,69.55,12573228284.5,181247650.0
2015-07-29,71.2,8739702987.3,123880080.0
2015-07-30,72.2,7716334933.9,107101630.0
2015-07-31,72.3,10953582462.7,153437500.0
2015-08-03,71.1,8354612356.3,117599820.0
2015-08-04,72.3,7139565312.9,99409330.0
2015-08-05,73.49,8289256662.7,113008940.0
2015-08-06,72.25,7468297854.7,102421110.0
2015-08-07,74.2,7754793149.1,105214340.0
2015-08-10,75.16,6277893764.2,84327190.0
2015-08-11,73.2,8453230352.5,113655080.0
2015-08-12,73.4,7258774851.6,98910440.0
2015-08-13,73.7,5705645038.8,77333790.0
2015-08-14,74.43,5435991639.0,73226070.0
2015-08-17,73.0,6916351474.4,94182540.0
2015-08-18,72.45,6369365788.6,87653250.0
2015-08-19,71.5,7621445917.1,105333980.0
2015-08-20,72.05,7775867613.2,108445080.0
2015-08-21,69.86,8377667600.3,118509720.0
2015-08-24,68.53,15802396894.2,232160070.0
2015-08-25,70.79,10247936040.8,145878970.0
2015-08-26,71.0,9137115968.3,129671460.0
2015-08-27,73.8,11187782034.2,153628490.0
2015-08-28,74.82,12940780096.2,174611890.0
2015-08-31,74.5,11294385690.8,152930380.0
2015-09-01,73.14,9761688496.5,132717170.0
2015-09-02,72.9,10196595215.5,139406370.0
2015-09-03,74.15,7897536878.0,106955860.0
2015-09-04,73.96,5959902435.8,80709310.0
2015-09-07,73.81,3673598118.0,49845340.0
2015-09-08,74.9,7375920732.2,98662390.0
2015-09-09,74.65,6455384487.4,85993260.0
2015-09-10,74.3,6923861053.5,93353580.0
